barista_count_setting,interarrival_setting,caseid,time,activity
human_1,3,1,312,arrival
human_1,3,1,312,join_queue
human_1,3,1,312,begin_service
human_1,3,2,356,arrival
human_1,3,2,356,join_queue
human_1,3,1,372,end_service
human_1,3,2,372,begin_service
human_1,3,2,432,end_service
human_1,3,3,498,arrival
human_1,3,3,498,join_queue
human_1,3,3,498,begin_service
human_1,3,4,535,arrival
human_1,3,4,535,join_queue
human_1,3,3,564,end_service
human_1,3,4,564,begin_service
human_1,3,4,645,end_service
human_1,3,5,702,arrival
human_1,3,5,702,join_queue
human_1,3,5,702,begin_service
human_1,3,6,888,arrival
human_1,3,6,888,join_queue
human_1,3,5,995,end_service
human_1,3,6,995,begin_service
human_1,3,6,1055,end_service
human_1,3,7,1153,arrival
human_1,3,7,1153,join_queue
human_1,3,7,1153,begin_service
human_1,3,7,1213,end_service
human_1,3,8,1250,arrival
human_1,3,8,1250,join_queue
human_1,3,8,1250,begin_service
human_1,3,8,1310,end_service
human_1,3,9,1332,arrival
human_1,3,9,1332,join_queue
human_1,3,9,1332,begin_service
human_1,3,9,1392,end_service
human_1,3,10,1488,arrival
human_1,3,10,1488,join_queue
human_1,3,10,1488,begin_service
human_1,3,11,1559,arrival
human_1,3,11,1559,join_queue
human_1,3,12,1592,arrival
human_1,3,12,1592,join_queue
human_1,3,13,1711,arrival
human_1,3,13,1711,join_queue
human_1,3,10,1718,end_service
human_1,3,11,1718,begin_service
human_1,3,11,1829,end_service
human_1,3,12,1829,begin_service
human_1,3,14,1855,arrival
human_1,3,14,1855,join_queue
human_1,3,12,1898,end_service
human_1,3,13,1898,begin_service
human_1,3,15,1970,arrival
human_1,3,15,1970,join_queue
human_1,3,16,2109,arrival
human_1,3,16,2109,join_queue
human_1,3,13,2139,end_service
human_1,3,14,2139,begin_service
human_1,3,14,2199,end_service
human_1,3,15,2199,begin_service
human_1,3,17,2228,arrival
human_1,3,17,2228,join_queue
human_1,3,15,2304,end_service
human_1,3,16,2304,begin_service
human_1,3,16,2398,end_service
human_1,3,17,2398,begin_service
human_1,3,18,2433,arrival
human_1,3,18,2433,join_queue
human_1,3,17,2691,end_service
human_1,3,18,2691,begin_service
human_1,3,19,2707,arrival
human_1,3,19,2707,join_queue
human_1,3,20,2724,arrival
human_1,3,20,2724,join_queue
human_1,3,18,2840,end_service
human_1,3,19,2840,begin_service
human_1,3,19,2900,end_service
human_1,3,20,2900,begin_service
human_1,3,20,2960,end_service
human_1,3,21,3272,arrival
human_1,3,21,3272,join_queue
human_1,3,21,3272,begin_service
human_1,3,22,3284,arrival
human_1,3,22,3284,join_queue
human_1,3,23,3287,arrival
human_1,3,23,3287,join_queue
human_1,3,21,3352,end_service
human_1,3,22,3352,begin_service
human_1,3,24,3469,arrival
human_1,3,24,3469,join_queue
human_1,3,22,3479,end_service
human_1,3,23,3479,begin_service
human_1,3,23,3539,end_service
human_1,3,24,3539,begin_service
human_1,3,24,3599,end_service
human_1,3,25,3732,arrival
human_1,3,25,3732,join_queue
human_1,3,25,3732,begin_service
human_1,3,25,3792,end_service
human_1,3,26,4155,arrival
human_1,3,26,4155,join_queue
human_1,3,26,4155,begin_service
human_1,3,26,4237,end_service
human_1,3,27,4311,arrival
human_1,3,27,4311,join_queue
human_1,3,27,4311,begin_service
human_1,3,27,4395,end_service
human_1,3,28,4624,arrival
human_1,3,28,4624,join_queue
human_1,3,28,4624,begin_service
human_1,3,28,4695,end_service
human_1,3,29,4824,arrival
human_1,3,29,4824,join_queue
human_1,3,29,4824,begin_service
human_1,3,30,4833,arrival
human_1,3,30,4833,join_queue
human_1,3,29,5009,end_service
human_1,3,30,5009,begin_service
human_1,3,30,5069,end_service
human_1,3,31,5513,arrival
human_1,3,31,5513,join_queue
human_1,3,31,5513,begin_service
human_1,3,32,5518,arrival
human_1,3,32,5518,join_queue
human_1,3,33,5525,arrival
human_1,3,33,5525,join_queue
human_1,3,31,5627,end_service
human_1,3,32,5627,begin_service
human_1,3,34,5905,arrival
human_1,3,34,5905,join_queue
human_1,3,32,5927,end_service
human_1,3,33,5927,begin_service
human_1,3,33,6025,end_service
human_1,3,34,6025,begin_service
human_1,3,34,6085,end_service
human_1,3,35,6210,arrival
human_1,3,35,6210,join_queue
human_1,3,35,6210,begin_service
human_1,3,35,6270,end_service
human_1,3,36,6390,arrival
human_1,3,36,6390,join_queue
human_1,3,36,6390,begin_service
human_1,3,37,6440,arrival
human_1,3,37,6440,join_queue
human_1,3,38,6447,arrival
human_1,3,38,6447,join_queue
human_1,3,36,6450,end_service
human_1,3,37,6450,begin_service
human_1,3,37,6545,end_service
human_1,3,38,6545,begin_service
human_1,3,39,6594,arrival
human_1,3,39,6594,join_queue
human_1,3,38,6605,end_service
human_1,3,39,6605,begin_service
human_1,3,40,6653,arrival
human_1,3,40,6653,join_queue
human_1,3,39,6665,end_service
human_1,3,40,6665,begin_service
human_1,3,40,6725,end_service
human_1,3,41,6730,arrival
human_1,3,41,6730,join_queue
human_1,3,41,6730,begin_service
human_1,3,41,6839,end_service
human_1,3,42,6844,arrival
human_1,3,42,6844,join_queue
human_1,3,42,6844,begin_service
human_1,3,42,6904,end_service
human_1,3,43,6924,arrival
human_1,3,43,6924,join_queue
human_1,3,43,6924,begin_service
human_1,3,43,6984,end_service
human_1,3,44,7005,arrival
human_1,3,44,7005,join_queue
human_1,3,44,7005,begin_service
human_1,3,44,7065,end_service
human_1,3,45,7440,arrival
human_1,3,45,7440,join_queue
human_1,3,45,7440,begin_service
human_1,3,45,7515,end_service
human_1,3,46,7551,arrival
human_1,3,46,7551,join_queue
human_1,3,46,7551,begin_service
human_1,3,47,7592,arrival
human_1,3,47,7592,join_queue
human_1,3,46,7617,end_service
human_1,3,47,7617,begin_service
human_1,3,48,7702,arrival
human_1,3,48,7702,join_queue
human_1,3,47,7703,end_service
human_1,3,48,7703,begin_service
human_1,3,48,7923,end_service
human_1,3,49,8010,arrival
human_1,3,49,8010,join_queue
human_1,3,49,8010,begin_service
human_1,3,49,8079,end_service
human_1,3,50,8249,arrival
human_1,3,50,8249,join_queue
human_1,3,50,8249,begin_service
human_1,3,50,8309,end_service
human_1,3,51,8318,arrival
human_1,3,51,8318,join_queue
human_1,3,51,8318,begin_service
human_1,3,52,8324,arrival
human_1,3,52,8324,join_queue
