barista_count_setting,interarrival_setting,caseid,time,activity
human_2,6,1,624,arrival
human_2,6,1,624,join_queue
human_2,6,1,624,begin_service
human_2,6,1,684,end_service
human_2,6,2,713,arrival
human_2,6,2,713,join_queue
human_2,6,2,713,begin_service
human_2,6,2,773,end_service
human_2,6,3,997,arrival
human_2,6,3,997,join_queue
human_2,6,3,997,begin_service
human_2,6,3,1057,end_service
human_2,6,4,1072,arrival
human_2,6,4,1072,join_queue
human_2,6,4,1072,begin_service
human_2,6,4,1133,end_service
human_2,6,5,1407,arrival
human_2,6,5,1407,join_queue
human_2,6,5,1407,begin_service
human_2,6,5,1587,end_service
human_2,6,6,1779,arrival
human_2,6,6,1779,join_queue
human_2,6,6,1779,begin_service
human_2,6,6,1839,end_service
human_2,6,7,2310,arrival
human_2,6,7,2310,join_queue
human_2,6,7,2310,begin_service
human_2,6,7,2370,end_service
human_2,6,8,2503,arrival
human_2,6,8,2503,join_queue
human_2,6,8,2503,begin_service
human_2,6,8,2563,end_service
human_2,6,9,2667,arrival
human_2,6,9,2667,join_queue
human_2,6,9,2667,begin_service
human_2,6,9,2727,end_service
human_2,6,10,2980,arrival
human_2,6,10,2980,join_queue
human_2,6,10,2980,begin_service
human_2,6,11,3122,arrival
human_2,6,11,3122,join_queue
human_2,6,11,3122,begin_service
human_2,6,10,3152,end_service
human_2,6,11,3182,end_service
human_2,6,12,3187,arrival
human_2,6,12,3187,join_queue
human_2,6,12,3187,begin_service
human_2,6,12,3270,end_service
human_2,6,13,3475,arrival
human_2,6,13,3475,join_queue
human_2,6,13,3475,begin_service
human_2,6,13,3535,end_service
human_2,6,14,3681,arrival
human_2,6,14,3681,join_queue
human_2,6,14,3681,begin_service
human_2,6,14,3750,end_service
human_2,6,15,4405,arrival
human_2,6,15,4405,join_queue
human_2,6,15,4405,begin_service
human_2,6,15,4465,end_service
human_2,6,16,4644,arrival
human_2,6,16,4644,join_queue
human_2,6,16,4644,begin_service
human_2,6,16,4746,end_service
human_2,6,17,4958,arrival
human_2,6,17,4958,join_queue
human_2,6,17,4958,begin_service
human_2,6,17,5138,end_service
human_2,6,18,5241,arrival
human_2,6,18,5241,join_queue
human_2,6,18,5241,begin_service
human_2,6,18,5353,end_service
human_2,6,19,5790,arrival
human_2,6,19,5790,join_queue
human_2,6,19,5790,begin_service
human_2,6,20,5825,arrival
human_2,6,20,5825,join_queue
human_2,6,20,5825,begin_service
human_2,6,20,5885,end_service
human_2,6,21,5916,arrival
human_2,6,21,5916,join_queue
human_2,6,21,5916,begin_service
human_2,6,22,5940,arrival
human_2,6,22,5940,join_queue
human_2,6,23,5946,arrival
human_2,6,23,5946,join_queue
human_2,6,19,5970,end_service
human_2,6,22,5970,begin_service
human_2,6,21,5976,end_service
human_2,6,23,5976,begin_service
human_2,6,22,6065,end_service
human_2,6,23,6107,end_service
human_2,6,24,6309,arrival
human_2,6,24,6309,join_queue
human_2,6,24,6309,begin_service
human_2,6,24,6369,end_service
human_2,6,25,6412,arrival
human_2,6,25,6412,join_queue
human_2,6,25,6412,begin_service
human_2,6,25,6472,end_service
human_2,6,26,7258,arrival
human_2,6,26,7258,join_queue
human_2,6,26,7258,begin_service
human_2,6,26,7319,end_service
human_2,6,27,7571,arrival
human_2,6,27,7571,join_queue
human_2,6,27,7571,begin_service
human_2,6,27,7634,end_service
human_2,6,28,8198,arrival
human_2,6,28,8198,join_queue
human_2,6,28,8198,begin_service
human_2,6,28,8258,end_service
human_2,6,29,8598,arrival
human_2,6,29,8598,join_queue
human_2,6,29,8598,begin_service
human_2,6,30,8617,arrival
human_2,6,30,8617,join_queue
human_2,6,30,8617,begin_service
human_2,6,30,8677,end_service
human_2,6,29,8736,end_service
human_2,6,31,9978,arrival
human_2,6,31,9978,join_queue
human_2,6,31,9978,begin_service
human_2,6,32,9987,arrival
human_2,6,32,9987,join_queue
human_2,6,32,9987,begin_service
human_2,6,33,10001,arrival
human_2,6,33,10001,join_queue
human_2,6,31,10063,end_service
human_2,6,33,10063,begin_service
human_2,6,32,10167,end_service
human_2,6,33,10216,end_service
human_2,6,34,10913,arrival
human_2,6,34,10913,join_queue
human_2,6,34,10913,begin_service
human_2,6,34,10973,end_service
human_2,6,35,11208,arrival
human_2,6,35,11208,join_queue
human_2,6,35,11208,begin_service
human_2,6,35,11268,end_service
human_2,6,36,11568,arrival
human_2,6,36,11568,join_queue
human_2,6,36,11568,begin_service
human_2,6,36,11628,end_service
human_2,6,37,11668,arrival
human_2,6,37,11668,join_queue
human_2,6,37,11668,begin_service
human_2,6,38,11683,arrival
human_2,6,38,11683,join_queue
human_2,6,38,11683,begin_service
human_2,6,37,11741,end_service
human_2,6,38,11743,end_service
human_2,6,39,11968,arrival
human_2,6,39,11968,join_queue
human_2,6,39,11968,begin_service
human_2,6,39,12028,end_service
human_2,6,40,12085,arrival
human_2,6,40,12085,join_queue
human_2,6,40,12085,begin_service
human_2,6,40,12145,end_service
human_2,6,41,12240,arrival
human_2,6,41,12240,join_queue
human_2,6,41,12240,begin_service
human_2,6,41,12322,end_service
human_2,6,42,12469,arrival
human_2,6,42,12469,join_queue
human_2,6,42,12469,begin_service
human_2,6,42,12529,end_service
human_2,6,43,12628,arrival
human_2,6,43,12628,join_queue
human_2,6,43,12628,begin_service
human_2,6,43,12688,end_service
human_2,6,44,12789,arrival
human_2,6,44,12789,join_queue
human_2,6,44,12789,begin_service
human_2,6,44,12849,end_service
human_2,6,45,13660,arrival
human_2,6,45,13660,join_queue
human_2,6,45,13660,begin_service
human_2,6,45,13720,end_service
human_2,6,46,13883,arrival
human_2,6,46,13883,join_queue
human_2,6,46,13883,begin_service
human_2,6,46,13943,end_service
human_2,6,47,13965,arrival
human_2,6,47,13965,join_queue
human_2,6,47,13965,begin_service
human_2,6,47,14030,end_service
human_2,6,48,14185,arrival
human_2,6,48,14185,join_queue
human_2,6,48,14185,begin_service
human_2,6,48,14350,end_service
human_2,6,49,14801,arrival
human_2,6,49,14801,join_queue
human_2,6,49,14801,begin_service
human_2,6,49,14861,end_service
human_2,6,50,15280,arrival
human_2,6,50,15280,join_queue
human_2,6,50,15280,begin_service
human_2,6,50,15340,end_service
human_2,6,51,15418,arrival
human_2,6,51,15418,join_queue
human_2,6,51,15418,begin_service
human_2,6,52,15429,arrival
human_2,6,52,15429,join_queue
human_2,6,52,15429,begin_service
human_2,6,51,15478,end_service
human_2,6,52,15489,end_service
human_2,6,53,15516,arrival
human_2,6,53,15516,join_queue
human_2,6,53,15516,begin_service
human_2,6,53,15578,end_service
human_2,6,54,16069,arrival
human_2,6,54,16069,join_queue
human_2,6,54,16069,begin_service
human_2,6,55,16072,arrival
human_2,6,55,16072,join_queue
human_2,6,55,16072,begin_service
human_2,6,56,16104,arrival
human_2,6,56,16104,join_queue
human_2,6,54,16129,end_service
human_2,6,56,16129,begin_service
