barista_count_setting,interarrival_setting,caseid,time,activity
robot_3,10,1,1040,arrival
robot_3,10,1,1040,join_queue
robot_3,10,1,1040,begin_service
robot_3,10,1,1100,end_service
robot_3,10,2,1188,arrival
robot_3,10,2,1188,join_queue
robot_3,10,2,1188,begin_service
robot_3,10,2,1248,end_service
robot_3,10,3,1662,arrival
robot_3,10,3,1662,join_queue
robot_3,10,3,1662,begin_service
robot_3,10,3,1722,end_service
robot_3,10,4,1786,arrival
robot_3,10,4,1786,join_queue
robot_3,10,4,1786,begin_service
robot_3,10,4,1847,end_service
robot_3,10,5,2344,arrival
robot_3,10,5,2344,join_queue
robot_3,10,5,2344,begin_service
robot_3,10,5,2524,end_service
robot_3,10,6,2964,arrival
robot_3,10,6,2964,join_queue
robot_3,10,6,2964,begin_service
robot_3,10,6,3024,end_service
robot_3,10,7,3849,arrival
robot_3,10,7,3849,join_queue
robot_3,10,7,3849,begin_service
robot_3,10,7,3909,end_service
robot_3,10,8,4171,arrival
robot_3,10,8,4171,join_queue
robot_3,10,8,4171,begin_service
robot_3,10,8,4231,end_service
robot_3,10,9,4445,arrival
robot_3,10,9,4445,join_queue
robot_3,10,9,4445,begin_service
robot_3,10,9,4505,end_service
robot_3,10,10,4966,arrival
robot_3,10,10,4966,join_queue
robot_3,10,10,4966,begin_service
robot_3,10,10,5138,end_service
robot_3,10,11,5203,arrival
robot_3,10,11,5203,join_queue
robot_3,10,11,5203,begin_service
robot_3,10,11,5263,end_service
robot_3,10,12,5312,arrival
robot_3,10,12,5312,join_queue
robot_3,10,12,5312,begin_service
robot_3,10,12,5395,end_service
robot_3,10,13,5792,arrival
robot_3,10,13,5792,join_queue
robot_3,10,13,5792,begin_service
robot_3,10,13,5852,end_service
robot_3,10,14,6135,arrival
robot_3,10,14,6135,join_queue
robot_3,10,14,6135,begin_service
robot_3,10,14,6204,end_service
robot_3,10,15,7341,arrival
robot_3,10,15,7341,join_queue
robot_3,10,15,7341,begin_service
robot_3,10,15,7401,end_service
robot_3,10,16,7739,arrival
robot_3,10,16,7739,join_queue
robot_3,10,16,7739,begin_service
robot_3,10,16,7841,end_service
robot_3,10,17,8263,arrival
robot_3,10,17,8263,join_queue
robot_3,10,17,8263,begin_service
robot_3,10,17,8443,end_service
robot_3,10,18,8735,arrival
robot_3,10,18,8735,join_queue
robot_3,10,18,8735,begin_service
robot_3,10,18,8847,end_service
robot_3,10,19,9650,arrival
robot_3,10,19,9650,join_queue
robot_3,10,19,9650,begin_service
robot_3,10,20,9708,arrival
robot_3,10,20,9708,join_queue
robot_3,10,20,9708,begin_service
robot_3,10,20,9768,end_service
robot_3,10,19,9830,end_service
robot_3,10,21,9860,arrival
robot_3,10,21,9860,join_queue
robot_3,10,21,9860,begin_service
robot_3,10,22,9900,arrival
robot_3,10,22,9900,join_queue
robot_3,10,22,9900,begin_service
robot_3,10,23,9909,arrival
robot_3,10,23,9909,join_queue
robot_3,10,23,9909,begin_service
robot_3,10,21,9920,end_service
robot_3,10,22,9991,end_service
robot_3,10,23,10040,end_service
robot_3,10,24,10545,arrival
robot_3,10,24,10545,join_queue
robot_3,10,24,10545,begin_service
robot_3,10,24,10605,end_service
robot_3,10,25,10717,arrival
robot_3,10,25,10717,join_queue
robot_3,10,25,10717,begin_service
robot_3,10,25,10777,end_service
robot_3,10,26,12126,arrival
robot_3,10,26,12126,join_queue
robot_3,10,26,12126,begin_service
robot_3,10,26,12187,end_service
robot_3,10,27,12647,arrival
robot_3,10,27,12647,join_queue
robot_3,10,27,12647,begin_service
robot_3,10,27,12710,end_service
robot_3,10,28,13691,arrival
robot_3,10,28,13691,join_queue
robot_3,10,28,13691,begin_service
robot_3,10,28,13751,end_service
robot_3,10,29,14358,arrival
robot_3,10,29,14358,join_queue
robot_3,10,29,14358,begin_service
robot_3,10,30,14389,arrival
robot_3,10,30,14389,join_queue
robot_3,10,30,14389,begin_service
robot_3,10,30,14449,end_service
robot_3,10,29,14496,end_service
robot_3,10,31,16657,arrival
robot_3,10,31,16657,join_queue
robot_3,10,31,16657,begin_service
robot_3,10,32,16672,arrival
robot_3,10,32,16672,join_queue
robot_3,10,32,16672,begin_service
robot_3,10,33,16695,arrival
robot_3,10,33,16695,join_queue
robot_3,10,33,16695,begin_service
robot_3,10,31,16742,end_service
robot_3,10,33,16848,end_service
robot_3,10,32,16852,end_service
robot_3,10,34,18214,arrival
robot_3,10,34,18214,join_queue
robot_3,10,34,18214,begin_service
robot_3,10,34,18274,end_service
robot_3,10,35,18705,arrival
robot_3,10,35,18705,join_queue
robot_3,10,35,18705,begin_service
robot_3,10,35,18765,end_service
robot_3,10,36,19306,arrival
robot_3,10,36,19306,join_queue
robot_3,10,36,19306,begin_service
robot_3,10,36,19366,end_service
robot_3,10,37,19472,arrival
robot_3,10,37,19472,join_queue
robot_3,10,37,19472,begin_service
robot_3,10,38,19496,arrival
robot_3,10,38,19496,join_queue
robot_3,10,38,19496,begin_service
robot_3,10,37,19545,end_service
robot_3,10,38,19556,end_service
robot_3,10,39,19972,arrival
robot_3,10,39,19972,join_queue
robot_3,10,39,19972,begin_service
robot_3,10,39,20032,end_service
robot_3,10,40,20168,arrival
robot_3,10,40,20168,join_queue
robot_3,10,40,20168,begin_service
robot_3,10,40,20228,end_service
robot_3,10,41,20426,arrival
robot_3,10,41,20426,join_queue
robot_3,10,41,20426,begin_service
robot_3,10,41,20508,end_service
robot_3,10,42,20808,arrival
